"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\mdram\Documents\GitHub\ia20242025\main.py", "Python", 58, 0, 14, 37, 109
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\andar.py", "Python", 435, 0, 1, 29, 465
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\andarBVM.py", "Python", 496, 0, 78, 108, 682
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\googlemaps.py", "Python", 77, 0, 2, 24, 103
"c:\Users\mdram\Documents\GitHub\ia20242025\webserver\index.html", "HTML", 0, 177, 0, 12, 189
"c:\Users\mdram\Documents\GitHub\ia20242025\webserver\server.py", "Python", 7, 0, 0, 4, 11
"Total", "-", 1073, 177, 95, 214, 1559
