"filename", "language", "HTML", "Python", "comment", "blank", "total"
"c:\Users\mdram\Documents\GitHub\ia20242025\main.py", "Python", 0, 58, 14, 37, 109
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\andar.py", "Python", 0, 430, 1, 29, 460
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\andarBVM.py", "Python", 0, 461, 61, 99, 621
"c:\Users\mdram\Documents\GitHub\ia20242025\modules\googlemaps.py", "Python", 0, 77, 2, 24, 103
"c:\Users\mdram\Documents\GitHub\ia20242025\webserver\index.html", "HTML", 116, 0, 0, 6, 122
"c:\Users\mdram\Documents\GitHub\ia20242025\webserver\server.py", "Python", 0, 7, 0, 4, 11
"Total", "-", 116, 1033, 78, 199, 1426
